,dataset_name,training_data_num,hash_length,space_ratio,btsp_fq_constant_x,binary_mode,btsp_sampling_ratio_x,random_seed,experiment_index,input_dim,embedding_size,btsp_fq_constant_y,btsp_sampling_ratio_y,btsp_fq,btsp_mAP
146,mnist10k,5000,24,8,1,True,0.5,1,146,784,6272,1,0.5,0.003826530612244898,0.6862302074873731
147,mnist10k,5000,24,8,1,True,0.6,1,147,784,6272,1,0.6,0.003826530612244898,0.7013876830421998
148,mnist10k,5000,24,8,1,True,0.7,1,148,784,6272,1,0.7,0.003826530612244898,0.6815597269370021
149,mnist10k,5000,24,8,1,True,0.8,1,149,784,6272,1,0.8,0.003826530612244898,0.695461595837406
150,mnist10k,5000,24,8,2,True,0.01,1,150,784,6272,2,0.01,0.007653061224489796,0.725443424025731
151,mnist10k,5000,24,8,2,True,0.05,1,151,784,6272,2,0.05,0.007653061224489796,0.7054698420637082
152,mnist10k,5000,24,8,2,True,0.1,1,152,784,6272,2,0.1,0.007653061224489796,0.7105695998322228
153,mnist10k,5000,24,8,2,True,0.2,1,153,784,6272,2,0.2,0.007653061224489796,0.6907896793316067
154,mnist10k,5000,24,8,2,True,0.3,1,154,784,6272,2,0.3,0.007653061224489796,0.6992584643836957
155,mnist10k,5000,24,8,2,True,0.4,1,155,784,6272,2,0.4,0.007653061224489796,0.6917611692779079
156,mnist10k,5000,24,8,2,True,0.5,1,156,784,6272,2,0.5,0.007653061224489796,0.7013397565074029
157,mnist10k,5000,24,8,2,True,0.6,1,157,784,6272,2,0.6,0.007653061224489796,0.6865272347575888
158,mnist10k,5000,24,8,2,True,0.7,1,158,784,6272,2,0.7,0.007653061224489796,0.7059074312893435
159,mnist10k,5000,24,8,2,True,0.8,1,159,784,6272,2,0.8,0.007653061224489796,0.6863254009844263
160,mnist10k,5000,24,8,3,True,0.01,1,160,784,6272,3,0.01,0.011479591836734694,0.7112745479145237
161,mnist10k,5000,24,8,3,True,0.05,1,161,784,6272,3,0.05,0.011479591836734694,0.7055114088254327
162,mnist10k,5000,24,8,3,True,0.1,1,162,784,6272,3,0.1,0.011479591836734694,0.6977118122735017
163,mnist10k,5000,24,8,3,True,0.2,1,163,784,6272,3,0.2,0.011479591836734694,0.7070695122345507
164,mnist10k,5000,24,8,3,True,0.3,1,164,784,6272,3,0.3,0.011479591836734694,0.6905576738367875
165,mnist10k,5000,24,8,3,True,0.4,1,165,784,6272,3,0.4,0.011479591836734694,0.7031150150580534
166,mnist10k,5000,24,8,3,True,0.5,1,166,784,6272,3,0.5,0.011479591836734694,0.6871683673939971
167,mnist10k,5000,24,8,3,True,0.6,1,167,784,6272,3,0.6,0.011479591836734694,0.689858063796599
168,mnist10k,5000,24,8,3,True,0.7,1,168,784,6272,3,0.7,0.011479591836734694,0.6899855734474108
169,mnist10k,5000,24,8,3,True,0.8,1,169,784,6272,3,0.8,0.011479591836734694,0.6986714130573934
170,mnist10k,5000,24,8,5,True,0.01,1,170,784,6272,5,0.01,0.01913265306122449,0.6988342910991622
171,mnist10k,5000,24,8,5,True,0.05,1,171,784,6272,5,0.05,0.01913265306122449,0.696758857281058
172,mnist10k,5000,24,8,5,True,0.1,1,172,784,6272,5,0.1,0.01913265306122449,0.6879504781467936
173,mnist10k,5000,24,8,5,True,0.2,1,173,784,6272,5,0.2,0.01913265306122449,0.7064266453980325
174,mnist10k,5000,24,8,5,True,0.3,1,174,784,6272,5,0.3,0.01913265306122449,0.6941461268061729
175,mnist10k,5000,24,8,5,True,0.4,1,175,784,6272,5,0.4,0.01913265306122449,0.7043775150634596
176,mnist10k,5000,24,8,5,True,0.5,1,176,784,6272,5,0.5,0.01913265306122449,0.7007795143034548
177,mnist10k,5000,24,8,5,True,0.6,1,177,784,6272,5,0.6,0.01913265306122449,0.6989472610863438
178,mnist10k,5000,24,8,5,True,0.7,1,178,784,6272,5,0.7,0.01913265306122449,0.6768690702481909
179,mnist10k,5000,24,8,5,True,0.8,1,179,784,6272,5,0.8,0.01913265306122449,0.6606548203338948
180,mnist10k,5000,24,8,7,True,0.01,1,180,784,6272,7,0.01,0.026785714285714284,0.7046308832567026
181,mnist10k,5000,24,8,7,True,0.05,1,181,784,6272,7,0.05,0.026785714285714284,0.6928264483603587
182,mnist10k,5000,24,8,7,True,0.1,1,182,784,6272,7,0.1,0.026785714285714284,0.7007293328314242
183,mnist10k,5000,24,8,7,True,0.2,1,183,784,6272,7,0.2,0.026785714285714284,0.6981978699313638
184,mnist10k,5000,24,8,7,True,0.3,1,184,784,6272,7,0.3,0.026785714285714284,0.6923098160751765
185,mnist10k,5000,24,8,7,True,0.4,1,185,784,6272,7,0.4,0.026785714285714284,0.7042402233188481
186,mnist10k,5000,24,8,7,True,0.5,1,186,784,6272,7,0.5,0.026785714285714284,0.6957403531867584
187,mnist10k,5000,24,8,7,True,0.6,1,187,784,6272,7,0.6,0.026785714285714284,0.6846505092436359
188,mnist10k,5000,24,8,7,True,0.7,1,188,784,6272,7,0.7,0.026785714285714284,0.6863215833408747
189,mnist10k,5000,24,8,7,True,0.8,1,189,784,6272,7,0.8,0.026785714285714284,0.6777622555777529
190,mnist10k,5000,24,8,8,True,0.01,1,190,784,6272,8,0.01,0.030612244897959183,0.7194244161909262
191,mnist10k,5000,24,8,8,True,0.05,1,191,784,6272,8,0.05,0.030612244897959183,0.7063659349669063
192,mnist10k,5000,24,8,8,True,0.1,1,192,784,6272,8,0.1,0.030612244897959183,0.6950361548541104
193,mnist10k,5000,24,8,8,True,0.2,1,193,784,6272,8,0.2,0.030612244897959183,0.6958071778899173
194,mnist10k,5000,24,8,8,True,0.3,1,194,784,6272,8,0.3,0.030612244897959183,0.7030033402420556
195,mnist10k,5000,24,8,8,True,0.4,1,195,784,6272,8,0.4,0.030612244897959183,0.7004434866026531
196,mnist10k,5000,24,8,8,True,0.5,1,196,784,6272,8,0.5,0.030612244897959183,0.695500468229422
197,mnist10k,5000,24,8,8,True,0.6,1,197,784,6272,8,0.6,0.030612244897959183,0.6881245949509405
198,mnist10k,5000,24,8,8,True,0.7,1,198,784,6272,8,0.7,0.030612244897959183,0.6971021006946829
199,mnist10k,5000,24,8,8,True,0.8,1,199,784,6272,8,0.8,0.030612244897959183,0.6860082614664218
200,mnist10k,5000,24,8,10,True,0.01,1,200,784,6272,10,0.01,0.03826530612244898,0.7175582046670537
201,mnist10k,5000,24,8,10,True,0.05,1,201,784,6272,10,0.05,0.03826530612244898,0.7107826440415629
202,mnist10k,5000,24,8,10,True,0.1,1,202,784,6272,10,0.1,0.03826530612244898,0.6880345013640821
203,mnist10k,5000,24,8,10,True,0.2,1,203,784,6272,10,0.2,0.03826530612244898,0.6932702162122548
204,mnist10k,5000,24,8,10,True,0.3,1,204,784,6272,10,0.3,0.03826530612244898,0.6977787295097536
205,mnist10k,5000,24,8,10,True,0.4,1,205,784,6272,10,0.4,0.03826530612244898,0.698680154989272
206,mnist10k,5000,24,8,10,True,0.5,1,206,784,6272,10,0.5,0.03826530612244898,0.7008256103592255
207,mnist10k,5000,24,8,10,True,0.6,1,207,784,6272,10,0.6,0.03826530612244898,0.688817634681112
208,mnist10k,5000,24,8,10,True,0.7,1,208,784,6272,10,0.7,0.03826530612244898,0.6961326755000601
209,mnist10k,5000,24,8,10,True,0.8,1,209,784,6272,10,0.8,0.03826530612244898,0.694589599374458
210,mnist10k,5000,24,12,1,True,0.01,1,210,784,9408,1,0.01,0.002551020408163265,0.7049623943134365
211,mnist10k,5000,24,12,1,True,0.05,1,211,784,9408,1,0.05,0.002551020408163265,0.7008213770948034
212,mnist10k,5000,24,12,1,True,0.1,1,212,784,9408,1,0.1,0.002551020408163265,0.701702237639522
213,mnist10k,5000,24,12,1,True,0.2,1,213,784,9408,1,0.2,0.002551020408163265,0.7164161668008034
214,mnist10k,5000,24,12,1,True,0.3,1,214,784,9408,1,0.3,0.002551020408163265,0.7031549685711811
215,mnist10k,5000,24,12,1,True,0.4,1,215,784,9408,1,0.4,0.002551020408163265,0.7051439877663463
216,mnist10k,5000,24,12,1,True,0.5,1,216,784,9408,1,0.5,0.002551020408163265,0.6875250238258513
217,mnist10k,5000,24,12,1,True,0.6,1,217,784,9408,1,0.6,0.002551020408163265,0.7027084915565651
218,mnist10k,5000,24,12,1,True,0.7,1,218,784,9408,1,0.7,0.002551020408163265,0.7006712268205572
219,mnist10k,5000,24,12,1,True,0.8,1,219,784,9408,1,0.8,0.002551020408163265,0.7108053746270404
220,mnist10k,5000,24,12,2,True,0.01,1,220,784,9408,2,0.01,0.00510204081632653,0.7165372536075959
221,mnist10k,5000,24,12,2,True,0.05,1,221,784,9408,2,0.05,0.00510204081632653,0.7006579979275565
222,mnist10k,5000,24,12,2,True,0.1,1,222,784,9408,2,0.1,0.00510204081632653,0.7073856127713046
223,mnist10k,5000,24,12,2,True,0.2,1,223,784,9408,2,0.2,0.00510204081632653,0.6946724619232154
224,mnist10k,5000,24,12,2,True,0.3,1,224,784,9408,2,0.3,0.00510204081632653,0.6990579541804784
225,mnist10k,5000,24,12,2,True,0.4,1,225,784,9408,2,0.4,0.00510204081632653,0.7031974632919628
226,mnist10k,5000,24,12,2,True,0.5,1,226,784,9408,2,0.5,0.00510204081632653,0.7021302174878299
227,mnist10k,5000,24,12,2,True,0.6,1,227,784,9408,2,0.6,0.00510204081632653,0.6953330246757881
228,mnist10k,5000,24,12,2,True,0.7,1,228,784,9408,2,0.7,0.00510204081632653,0.6893676332247025
229,mnist10k,5000,24,12,2,True,0.8,1,229,784,9408,2,0.8,0.00510204081632653,0.6946648757914224
230,mnist10k,5000,24,12,3,True,0.01,1,230,784,9408,3,0.01,0.007653061224489796,0.7202355170600937
231,mnist10k,5000,24,12,3,True,0.05,1,231,784,9408,3,0.05,0.007653061224489796,0.7034633876964431
232,mnist10k,5000,24,12,3,True,0.1,1,232,784,9408,3,0.1,0.007653061224489796,0.7073513135876178
233,mnist10k,5000,24,12,3,True,0.2,1,233,784,9408,3,0.2,0.007653061224489796,0.7021641999863782
234,mnist10k,5000,24,12,3,True,0.3,1,234,784,9408,3,0.3,0.007653061224489796,0.7130920174913917
235,mnist10k,5000,24,12,3,True,0.4,1,235,784,9408,3,0.4,0.007653061224489796,0.701221000639565
236,mnist10k,5000,24,12,3,True,0.5,1,236,784,9408,3,0.5,0.007653061224489796,0.7058564057195957
237,mnist10k,5000,24,12,3,True,0.6,1,237,784,9408,3,0.6,0.007653061224489796,0.6921610769411445
238,mnist10k,5000,24,12,3,True,0.7,1,238,784,9408,3,0.7,0.007653061224489796,0.7035979646160527
239,mnist10k,5000,24,12,3,True,0.8,1,239,784,9408,3,0.8,0.007653061224489796,0.6909422530465613
240,mnist10k,5000,24,12,5,True,0.01,1,240,784,9408,5,0.01,0.012755102040816327,0.7148900224399827
