,experiment_index,input_dim,embedding_size,optimal_btsp_fq_constant,optimal_btsp_sampling_ratio,optimal_btsp_fq,btsp_mAP,fly_mAP,wta_mAP,lsh_mAP
45,45,300,6000,1,0.05,0.0013333333333333333,0.09178272138366031,0.13091812571972736,0.08817010306147335,0.09429848639772494
46,46,300,1200,10,0.01,0.06666666666666667,0.07887512204158,0.1392351229292598,0.08297267411379793,0.08871541778270343
47,47,300,2400,1,0.01,0.0033333333333333335,0.08508690448477114,0.14225366000793518,0.0909193293405145,0.09511687247212118
48,48,300,3600,1,0.05,0.0022222222222222222,0.08890815214925554,0.14674100821441793,0.08920320772344201,0.08725911988179734
49,49,300,300,10,0.01,0.26666666666666666,0.06108148342316041,0.13045807601107715,0.09456421400578871,0.08498612153710172
50,50,300,6000,1,0.2,0.002,0.08919413783555827,0.1605271048824651,0.10025325141046412,0.1136377962249302
51,51,300,1200,2,0.01,0.02,0.10166755729568702,0.15848671197441072,0.09838578323308864,0.11406383156871795
52,52,300,2400,1,0.01,0.005,0.09048323502860747,0.16567190469298027,0.09786745462846862,0.11451336845560461
53,53,300,3600,5,0.01,0.016666666666666666,0.08810316203031492,0.16627270471600067,0.10100657766784102,0.11297779501375825
54,54,300,300,10,0.1,0.4,0.07969869393187845,0.1604610104603173,0.10058617482657757,0.11285222363727314
55,55,300,6000,5,0.01,0.013333333333333334,0.11867035112528428,0.17757101591996277,0.1172437208354159,0.13273345540353454
56,56,300,1200,1,0.01,0.013333333333333334,0.09669319820623357,0.18458842639959308,0.11135340035651489,0.1340967083380824
57,57,300,2400,2,0.01,0.013333333333333334,0.09831018510070647,0.18369060758898167,0.1119697406937695,0.1336075300769615
58,58,300,3600,1,0.01,0.0044444444444444444,0.10023781933519348,0.17008744831204495,0.11065292001109579,0.14435678583222325
59,59,300,300,1,0.01,0.05333333333333334,0.08323956496454235,0.16155234119311468,0.10795104829889485,0.133962099622061
60,60,300,6000,1,0.01,0.0033333333333333335,0.12305039625518972,0.1976059916252596,0.12043256827720762,0.14674850409415885
61,61,300,1200,10,0.01,0.16666666666666666,0.11142838286541595,0.19120218019394922,0.11755242281811522,0.1493357960026726
62,62,300,2400,1,0.01,0.008333333333333333,0.1177729167483028,0.19649721495604233,0.12376340828824939,0.15472542294707933
63,63,300,3600,10,0.01,0.05555555555555555,0.11435349632732346,0.19838784796160622,0.12206648278487096,0.15781342057527184
64,64,300,300,10,0.01,0.6666666666666666,0.09083428516118172,0.18608684780448523,0.12557517115629452,0.1528412437980178
65,65,300,6000,2,0.05,0.0006666666666666666,0.04226422274497747,0.09759775659985458,0.044944915799755465,0.06683826186930586
66,66,300,1200,10,0.01,0.016666666666666666,0.03432770546422194,0.08983260426077945,0.05200434299287015,0.05145779204221431
67,67,300,2400,5,0.01,0.004166666666666667,0.03576906658186919,0.10012354263733876,0.05076851822492543,0.05748598622711483
68,68,300,3600,1,0.01,0.0005555555555555556,0.034815535216390234,0.10541718661584758,0.046788437431606864,0.05369328342631304
69,69,300,300,10,0.01,0.06666666666666667,0.03770711564217723,0.08662783832590394,0.04819215804513648,0.05115386921974004
70,70,128,2560,1,0.1,0.009375,0.6323909831140213,0.6611360785083932,0.42421737130828274,0.4585233258274583
71,71,128,512,10,0.05,0.46875,0.6041006579892059,0.6330579825675313,0.41411705320745373,0.4692482169230273
72,72,128,1024,10,0.05,0.234375,0.6254141275881666,0.645713554112137,0.3992032836725118,0.45963365575775217
73,73,128,1536,10,0.05,0.15625,0.643813767915256,0.6544799528080055,0.468226756607718,0.44910783221423345
74,74,128,128,1,0.05,0.1875,0.5285898744293991,0.5785413602980554,0.42672219684894963,0.47897354471139136
75,75,128,2560,10,0.05,0.015625,0.3262642279374344,0.3819016432889969,0.162434238863633,0.20709147607516418
76,76,128,512,5,0.1,0.0390625,0.3283429158346106,0.3407062556341424,0.1794705359978937,0.17532345309232725
77,77,128,1024,1,0.05,0.00390625,0.3152535196873158,0.36819703718511654,0.17388309509772887,0.1742817623130426
78,78,128,1536,1,0.2,0.0026041666666666665,0.3197377623671703,0.36798721148119024,0.17569791525453052,0.1844200279442816
79,79,128,128,1,0.05,0.03125,0.27427092118918395,0.30967621699554515,0.1649161776526996,0.1781961625626658
80,80,128,2560,2,0.05,0.00625,0.4454580593434614,0.47531374681349436,0.2438124509885569,0.2775763384575673
81,81,128,512,2,0.05,0.03125,0.4103513546987828,0.445748707522068,0.25183849017608845,0.29527287477265446
82,82,128,1024,2,0.05,0.015625,0.43146074355311703,0.4656633923969176,0.2665226587724144,0.30741858535211297
83,83,128,1536,2,0.05,0.010416666666666666,0.44072888816532896,0.4688585994241355,0.2458638143989123,0.29720188519637203
84,84,128,128,2,0.2,0.125,0.38064190224467004,0.40840229638511477,0.2667994002298909,0.2948696277590353
85,85,128,2560,5,0.05,0.0234375,0.5085799324232146,0.5522661787330997,0.3057528143742585,0.3599395836641827
86,86,128,512,10,0.05,0.234375,0.4723274176408274,0.5312664366570105,0.30520684983846935,0.35168615096234296
87,87,128,1024,5,0.1,0.05859375,0.48094776531090283,0.5444026348957886,0.30179037448122575,0.3756544323510294
88,88,128,1536,1,0.3,0.0078125,0.5052494798633731,0.5354684674478205,0.3072331798360245,0.3707288678821245
89,89,128,128,1,0.1,0.09375,0.43551485848510657,0.4628848595310176,0.3181310075959869,0.3595727873438767
90,90,128,2560,2,0.05,0.0125,0.5517742328544357,0.5958941972948383,0.37912342020823986,0.40346452493808144
91,91,128,512,1,0.05,0.03125,0.5373958077529726,0.5568480296234816,0.3721987835456071,0.39608010612897615
92,92,128,1024,10,0.05,0.15625,0.5399243382811969,0.5820048506646947,0.35124112223773574,0.4247659054508805
93,93,128,1536,2,0.05,0.020833333333333332,0.5478387844898381,0.5818708691080634,0.3665347302113835,0.3942282717598555
94,94,128,128,5,0.01,0.625,0.4825618701202403,0.5214519869046769,0.3591836743716325,0.3960742465939673
95,95,128,2560,10,0.2,0.078125,0.5938952037520392,0.6270315237856696,0.3911601984689001,0.43842669578972715
96,96,128,512,2,0.05,0.078125,0.5760927968754396,0.6207254472989546,0.3871224912591825,0.4515662214505567
97,97,128,1024,1,0.1,0.01953125,0.5857854906995399,0.6304855695122159,0.4080698908826814,0.45666264032520554
98,98,128,1536,10,0.05,0.13020833333333334,0.5964123438972259,0.6287205070401753,0.4003616652052118,0.44460940309728925
99,99,128,128,1,0.1,0.15625,0.499188977463848,0.5627819614492471,0.39570776552256653,0.453951559535425
100,100,128,2560,5,0.2,0.00390625,0.24851170857329088,0.29773399068949197,0.13748829294223328,0.11309199065774472
101,101,128,512,5,0.05,0.01953125,0.2381520019375181,0.28306119611585134,0.1346901021312239,0.13381483897019292
102,102,128,1024,5,0.05,0.009765625,0.24456467567734563,0.2864930904237967,0.1108435323037729,0.13387037366828003
103,103,128,1536,2,0.2,0.0026041666666666665,0.23557540870736995,0.30019862570876854,0.1416576797902334,0.10491827980925393
104,104,128,128,5,0.2,0.078125,0.23145785556989384,0.23592737591246812,0.11990022695186373,0.10141507617443299
105,105,960,19200,10,0.05,0.0125,0.24705648151536466,0.21272994215156837,0.1760884202451174,0.2633109380864502
106,106,960,3840,10,0.6,0.0625,0.27238185113701796,0.22620518499375428,0.17021161571331522,0.2568402073085376
107,107,960,7680,10,0.6,0.03125,0.27194926693268884,0.21538762984967433,0.1773138066698454,0.26887461556510056
108,108,960,11520,10,0.1,0.020833333333333332,0.2208025835075574,0.21473379292528796,0.17323050250859473,0.2614453470849175
109,109,960,960,1,0.01,0.025,0.2496847324488129,0.22830147370299772,0.17138859438540172,0.2745147572757192
110,110,960,19200,10,0.01,0.0020833333333333333,0.08893847903981751,0.17464229483416113,0.09238632663452745,0.16125190145060828
111,111,960,3840,5,0.1,0.005208333333333333,0.0989367949975192,0.15763444407600907,0.0932144976313225,0.15010415103902716
112,112,960,7680,10,0.3,0.005208333333333333,0.13107572795270894,0.15632749461538067,0.09233070048939224,0.1547085214507603
113,113,960,11520,10,0.01,0.003472222222222222,0.1190391571963502,0.16430852951189023,0.10395887260438608,0.14710413910800835
114,114,960,960,1,0.01,0.004166666666666667,0.1265618661469022,0.13613575550714876,0.0914664954394421,0.1642074272962579
115,115,960,19200,10,0.1,0.004166666666666667,0.18021002862908966,0.1753656700053553,0.1154298670463898,0.17511671648171834
116,116,960,3840,2,0.01,0.004166666666666667,0.1278521045634243,0.16734723516880765,0.12479691261316346,0.1872632674444365
117,117,960,7680,5,0.01,0.005208333333333333,0.13950977223946545,0.1728760460545829,0.1296713595413919,0.18077932606209227
118,118,960,11520,10,0.1,0.006944444444444444,0.17122432930633277,0.16924479390261496,0.11780401416627684,0.1957196267672087
119,119,960,960,10,0.01,0.08333333333333333,0.1788048812954693,0.17155508999395958,0.12504032721062527,0.19735793978558172
120,120,960,19200,10,0.1,0.00625,0.2125473191063092,0.1911581949266271,0.13490965969520916,0.21226857373353977
121,121,960,3840,2,0.2,0.00625,0.20764808392841377,0.1899144355572544,0.14332473510762422,0.20543130122579936
122,122,960,7680,5,0.05,0.0078125,0.19244401234450406,0.18612250344550307,0.14010245921357187,0.19266150739408044
123,123,960,11520,5,0.2,0.005208333333333333,0.17636176602276044,0.19164255343781844,0.13880332391908554,0.21778295801269365
124,124,960,960,10,0.01,0.125,0.1901391642755861,0.194566645043118,0.14006390604843014,0.21558000536430452
125,125,960,19200,5,0.1,0.004166666666666667,0.22022977378822428,0.19470354328950445,0.15868556784163634,0.22930442518008903
126,126,960,3840,5,0.01,0.020833333333333332,0.22821568312371754,0.19349118162518147,0.15162663537099355,0.22388783886465938
127,127,960,7680,10,0.01,0.020833333333333332,0.17004857502421894,0.20588851741686345,0.1579380336183658,0.215457120730555
128,128,960,11520,5,0.2,0.006944444444444444,0.23171543394803182,0.2002758257365719,0.14483580826456727,0.2067554402578874
129,129,960,960,10,0.01,0.16666666666666666,0.22448538514686503,0.20705954479960129,0.14427803309316373,0.2284234026891319
130,130,960,19200,5,0.2,0.005208333333333333,0.20208182621175164,0.20694764854350584,0.16194143162312377,0.26206855370014137
131,131,960,3840,5,0.3,0.026041666666666668,0.24429791296847864,0.21422019771380627,0.1713584673102286,0.24753370368298813
132,132,960,7680,10,0.1,0.026041666666666668,0.2492016088651099,0.2121729725339015,0.17878156970705175,0.23957116984219584
133,133,960,11520,10,0.1,0.017361111111111112,0.23823014775060886,0.20882516746951288,0.16137014283049075,0.24825719655106832
134,134,960,960,10,0.01,0.20833333333333334,0.2387750631288745,0.21842351538254637,0.16841263690207506,0.24427844594313405
135,135,960,19200,5,0.01,0.0005208333333333333,0.05423290580872799,0.16047911170286272,0.07821010000613751,0.12338699384282714
136,136,960,3840,10,0.1,0.005208333333333333,0.09930853989962557,0.15028914386410008,0.0780788516160275,0.13306803713016452
137,137,960,7680,10,0.01,0.0026041666666666665,0.0877392361778852,0.15880875158941854,0.0690050870283124,0.12031159736944014
138,138,960,11520,5,0.01,0.0008680555555555555,0.06257960827398339,0.15922109638901832,0.06821584912161123,0.12453388743528529
139,139,960,960,10,0.01,0.020833333333333332,0.0939107003710658,0.13023192312589793,0.06533868267262619,0.12986083776332222
