,experiment_index,input_dim,embedding_size,btsp_fq,btsp_mAP,fly_mAP,wta_mAP,lsh_mAP
85,85,784,6272,0.0012755102040816326,0.4079311213116716,0.3891850423783729,0.12775120151071198,0.16675405499719853
86,86,784,6272,0.0012755102040816326,0.4064170847451968,0.3822308475053136,0.12372224436097629,0.1878609398085535
87,87,784,6272,0.0012755102040816326,0.4162002222802449,0.3661525241962418,0.12147630939983844,0.18701973932737517
88,88,784,6272,0.0012755102040816326,0.3977032281095395,0.3943280138170402,0.0846587371223633,0.17265590741420545
89,89,784,6272,0.0012755102040816326,0.4602820556932702,0.4030419012838458,0.14705713681196322,0.16594497861367735
90,90,784,6272,0.0012755102040816326,0.3550710970955815,0.43881903203359623,0.1519107339930026,0.18290435512768347
91,91,784,6272,0.0012755102040816326,0.3361255450068349,0.43907271881623394,0.16081736548823683,0.1820982118891161
92,92,784,6272,0.0012755102040816326,0.2947523930032438,0.40595439331226124,0.10424095632035037,0.17685380462225436
93,93,784,6272,0.0012755102040816326,0.3056782584830139,0.39804166108190897,0.12667445014777715,0.16991163740684898
94,94,784,6272,0.0012755102040816326,0.32501854294778765,0.4031588267109945,0.11233947589068892,0.18071095711186685
95,95,784,6272,0.0012755102040816326,0.3861745268804385,0.3756044045370119,0.11339083120387357,0.18118251299409718
96,96,784,9408,0.0008503401360544217,0.3815285477070522,0.3902096223771463,0.13346897925216927,0.1679935768380602
97,97,784,9408,0.0008503401360544217,0.3977483179509695,0.39210877511565,0.14466268960037276,0.18404309256606227
98,98,784,9408,0.0008503401360544217,0.3878445459073835,0.3813435651349416,0.11605757279896387,0.18891920445150626
99,99,784,9408,0.0008503401360544217,0.4015888732160254,0.37406425764018675,0.09415655583182372,0.17741468259598595
100,100,784,9408,0.0008503401360544217,0.41151311115877137,0.38388762685904415,0.12504886665858383,0.1561604231304594
101,101,784,9408,0.0008503401360544217,0.4510407064223815,0.3808885859861609,0.1648101699846452,0.1787122301201125
102,102,784,9408,0.0008503401360544217,0.3395262994952276,0.438055957231816,0.12193816472248689,0.1870482869510786
103,103,784,9408,0.0008503401360544217,0.333793347161581,0.4166209024198548,0.14052177424307985,0.17565205452602844
104,104,784,9408,0.0008503401360544217,0.33178625224238245,0.430280323093026,0.10767917703532043,0.18569742379057005
105,105,784,9408,0.0008503401360544217,0.3482764988808229,0.41040680490056514,0.11177897181853896,0.17534924285267237
106,106,784,9408,0.0008503401360544217,0.3610572894561051,0.39915650283566007,0.15815856192099598,0.16745391132523343
107,107,784,9408,0.0008503401360544217,0.405358389888423,0.4044544825720424,0.07444821854591667,0.17408123581962417
108,108,784,15680,0.0005102040816326531,0.39184518750441405,0.40087667440727626,0.15615812910559412,0.1681064116562698
109,109,784,15680,0.0005102040816326531,0.4071283559317652,0.39508529091641853,0.09706670909206871,0.1737983990780658
110,110,784,15680,0.0005102040816326531,0.4236339721134867,0.3974002744468897,0.17661849875232116,0.15718933241819152
111,111,784,15680,0.0005102040816326531,0.4585120752083708,0.4000691017351386,0.10644065190698843,0.179554717845474
112,112,784,15680,0.0005102040816326531,0.4574999101213582,0.3923239161234228,0.11825881419235015,0.18721231136461358
113,113,784,15680,0.0005102040816326531,0.5121274015166902,0.3848795883062951,0.15275066876231563,0.1795351219818154
114,114,784,15680,0.0005102040816326531,0.3508768433562783,0.43175975044355475,0.1418611137756669,0.17458874547219302
115,115,784,15680,0.0005102040816326531,0.34234456340956443,0.4076305346059686,0.14727655248154434,0.1660316604200174
116,116,784,15680,0.0005102040816326531,0.35379079303365063,0.4046074424083863,0.15847950362978036,0.17996259774000328
117,117,784,15680,0.0005102040816326531,0.3695098863498897,0.39842789326388367,0.10670257148519902,0.1652006187194654
118,118,784,15680,0.0005102040816326531,0.39179538402955427,0.39389909302438403,0.111520394436438,0.18362994121018383
119,119,784,15680,0.0005102040816326531,0.4753593956667045,0.37687958863508286,0.12111350971112388,0.18014504368173936
120,120,784,784,0.02040816326530612,0.49404423596549163,0.48506664370727687,0.276256628041736,0.26012431271012476
121,121,784,784,0.02040816326530612,0.5097145034185937,0.4958799850984154,0.2553201959978673,0.2611028453567197
122,122,784,784,0.02040816326530612,0.47246674282646667,0.4945204257417624,0.2638574105398548,0.2555463360502758
123,123,784,784,0.02040816326530612,0.4800101282974364,0.4965328773951426,0.28090397726956373,0.24964703252465437
124,124,784,784,0.02040816326530612,0.49386762370930404,0.49541848776537994,0.2776241945136069,0.24571439699601927
125,125,784,784,0.02040816326530612,0.49637152510210536,0.49630897819233494,0.17498216468329955,0.2726041222787304
126,126,784,784,0.02040816326530612,0.40110631440265715,0.524177316060511,0.27145919806615126,0.24468958661124204
127,127,784,784,0.02040816326530612,0.36417420321724975,0.4917553083900145,0.23460442063164264,0.2722038318273131
128,128,784,784,0.02040816326530612,0.32757127615374265,0.4692047866642971,0.24052760976897788,0.256639046936363
129,129,784,784,0.02040816326530612,0.3105794274748003,0.47143607753380584,0.28581009330208146,0.26380081327408733
130,130,784,784,0.02040816326530612,0.31156399224164555,0.4645340227483338,0.24830733219940657,0.25893212871276333
